Latitude,Longitude,Location,Current_Time
-51.0578,159.5850,South Pacific,2024-06-27 12:54:28
-50.7912,161.9060,South Pacific,2024-06-27 12:54:52
-50.5033,164.0075,South Pacific,2024-06-27 12:55:15
-50.1825,166.0338,South Pacific,2024-06-27 12:55:36
-49.8325,167.9843,South Pacific,2024-06-27 12:55:57
-49.3894,170.1758,South Pacific,2024-06-27 12:56:21
-48.9439,172.1472,South Pacific,2024-06-27 12:56:43
-48.4850,173.9937,South Pacific,2024-06-27 12:57:04
-47.9214,176.0600,South Pacific,2024-06-27 12:57:28
-47.3697,177.9119,South Pacific,2024-06-27 12:57:50
-46.7311,179.8850,Location not found.,2024-06-27 12:58:14
-46.1135,-178.3500,South Pacific,2024-06-27 12:58:36
-45.4964,-176.7046,South Pacific,2024-06-27 12:58:57
-44.6812,-174.6827,South Pacific,2024-06-27 12:59:24
-44.0075,-173.1233,South Pacific,2024-06-27 12:59:45
-42.7991,-170.5371,South Pacific,2024-06-27 13:00:21
-42.0649,-169.0783,South Pacific,2024-06-27 13:00:42
-40.7594,-166.6601,South Pacific,2024-06-27 13:01:18
-39.9722,-165.2965,South Pacific,2024-06-27 13:01:39
-39.1478,-163.9347,South Pacific,2024-06-27 13:02:00
-37.7283,-161.7301,South Pacific,2024-06-27 13:02:36
-36.2634,-159.6152,South Pacific,2024-06-27 13:03:12
-35.3896,-158.4208,South Pacific,2024-06-27 13:03:33
-34.5023,-157.2539,South Pacific,2024-06-27 13:03:54
-33.4728,-155.9528,South Pacific,2024-06-27 13:04:19
-31.8998,-154.0628,South Pacific,2024-06-27 13:04:55
-30.9226,-152.9420,South Pacific,2024-06-27 13:05:17
-29.9795,-151.8952,South Pacific,2024-06-27 13:05:38
-29.0268,-150.8698,South Pacific,2024-06-27 13:05:59
-28.0649,-149.8648,South Pacific,2024-06-27 13:06:20
-27.0945,-148.8793,South Pacific,2024-06-27 13:06:41
-26.1159,-147.9121,South Pacific,2024-06-27 13:07:02
-25.1297,-146.9625,South Pacific,2024-06-27 13:07:23
-23.3985,-145.3509,South Pacific,2024-06-27 13:07:59
-22.0572,-144.1458,South Pacific,2024-06-27 13:08:27
-20.9959,-143.2165,South Pacific,2024-06-27 13:08:49
